,HomeTeam,AwayTeam,FTHG,FTAG,result,HTHG,HTAG,HTR,HST,AST,HF,AF,HY,AY,HR,AR,player_Name_home,player_Wins_home,player_Losses_home,player_Goals_home,player_Goals per match_home,player_Penalties scored_home,player_Shooting accuracy %_home,player_Own goals_home,player_Yellow cards_home,player_Red cards_home,player_Fouls_home,Forward_home,rank_home,matches_played_home,wins_home,drawns_home,goals_for_home,goals_against_home,goals_diff_home,points_home,lossess_home,rank_away,matches_played_away,wins_away,drawns_away,goals_for_away,goals_against_away,goals_diff_away,points_away,lossess_away,player_Name_away,player_Wins_away,player_Losses_away,player_Goals_away,player_Goals per match_away,player_Penalties scored_away,player_Shooting accuracy %_away,player_Own goals_away,player_Yellow cards_away,player_Red cards_away,player_Fouls_away,Forward_away,numberof_winby_home_between,numberof_winby_away_between,numberof_match_draw_between,number_of_match_play_between,Past_5_match_won_by_home,Past_5_match_won_by_away,Past_5_match_drwan
0,Everton,Arsenal,1,2,A,0,1,A,7,8,15,14,2,2,0,0,Anthony Gordon,3,4,0,11,0,17,0,0,0,10,Anthony Gordon,8,1038,377,296,1357,1311,1,52,365,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,1,0,3,2,1,0
1,Everton,Arsenal,2,1,H,1,1,D,4,3,10,10,1,1,1,0,Anthony Gordon,3,4,0,11,0,17,0,0,0,10,Anthony Gordon,8,1038,377,296,1357,1311,1,52,365,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,1,0,3,2,1,0
2,Everton,Arsenal,1,0,H,1,0,H,6,2,8,9,1,4,0,0,Anthony Gordon,3,4,0,11,0,17,0,0,0,10,Anthony Gordon,8,1038,377,296,1357,1311,1,52,365,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,1,0,3,2,1,0
3,Tottenham,Arsenal,3,3,D,2,3,A,9,9,8,13,0,3,0,0,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,6,1038,446,257,1547,1306,8,59,335,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,0,1,3,2,0,1
4,Tottenham,Arsenal,2,1,H,1,0,H,8,7,11,8,2,1,0,0,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,6,1038,446,257,1547,1306,8,59,335,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,0,1,3,2,0,1
5,Tottenham,Arsenal,2,1,H,2,0,H,5,6,17,13,3,1,0,0,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,6,1038,446,257,1547,1306,8,59,335,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,2,0,1,3,2,0,1
6,Man City,Arsenal,0,3,A,0,1,A,6,8,11,10,2,4,1,0,Liam Delap,0,0,0,0,0,0,0,0,0,0,Liam Delap,5,848,391,196,1374,975,18,62,261,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,0,2,0,2,0,2,0
7,Man City,Arsenal,0,2,A,0,1,A,4,3,12,5,3,3,0,0,Liam Delap,0,0,0,0,0,0,0,0,0,0,Liam Delap,5,848,391,196,1374,975,18,62,261,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,0,2,0,2,0,2,0
8,West Ham,Arsenal,1,3,A,1,1,D,3,14,12,7,3,2,0,0,Emmanuel Longelo,0,0,0,0,0,0,0,0,0,0,Emmanuel Longelo,10,882,290,228,1064,1269,-8,47,364,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,0,1,0,1,0,1,0
9,Liverpool,Arsenal,1,2,A,1,0,H,3,5,19,16,3,3,0,0,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,4,1038,529,262,1774,1046,26,68,247,2,1038,565,260,1845,1013,30,72,213,Willian,137,47,37,0,5,37,0,21,1,131,Willian,0,1,2,3,0,1,2
